Wed Apr 21 23:42:37 2021    log1.txt

         62394416 function calls (59451042 primitive calls) in 245.476 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    19231    0.106    0.000    0.506    0.000 common.py:59(norm)
   576862    0.337    0.000    0.492    0.000 configparser.py:874(optionxform)
   227692    0.473    0.000    0.473    0.000 functions.py:9(step5)
   576862    0.423    0.000    0.423    0.000 __init__.py:882(__init__)
    19231    0.033    0.000    0.400    0.000 <__array_function__ internals>:2(norm)
    57687    0.241    0.000    0.396    0.000 shape_base.py:82(atleast_2d)
    57686    0.226    0.000    0.393    0.000 linalg.py:135(_commonType)
  2062488    0.392    0.000    0.392    0.000 {built-in method builtins.len}
  1577675    0.382    0.000    0.382    0.000 {built-in method builtins.issubclass}
   230744    0.353    0.000    0.353    0.000 {method 'reshape' of 'numpy.ndarray' objects}
   683076    0.333    0.000    0.333    0.000 {built-in method numpy.core._multiarray_umath.normalize_axis_index}
   480719    0.331    0.000    0.331    0.000 {method 'ravel' of 'numpy.ndarray' objects}
    19231    0.168    0.000    0.329    0.000 linalg.py:2363(norm)
  1317822    0.317    0.000    0.317    0.000 multiarray.py:143(concatenate)
  1009963    0.266    0.000    0.266    0.000 multiarray.py:706(dot)
  1260135    0.233    0.000    0.233    0.000 shape_base.py:20(_atleast_1d_dispatcher)
   115768    0.226    0.000    0.226    0.000 {built-in method numpy.zeros}
    19228    0.134    0.000    0.221    0.000 rk.py:105(_estimate_error)
    57686    0.122    0.000    0.220    0.000 linalg.py:107(_makearray)
   288431    0.204    0.000    0.204    0.000 {method 'find' of 'str' objects}
   230745    0.195    0.000    0.195    0.000 fromnumeric.py:71(<dictcomp>)
    57687    0.178    0.000    0.178    0.000 {method 'astype' of 'numpy.ndarray' objects}
   683076    0.168    0.000    0.168    0.000 fromnumeric.py:3265(_mean_dispatcher)
   579114    0.156    0.000    0.156    0.000 {method 'lower' of 'str' objects}
     11/8    0.000    0.000    0.131    0.016 gen.py:743(run)
    14/11    0.000    0.000    0.131    0.012 {method 'send' of 'generator' objects}
   115372    0.129    0.000    0.129    0.000 {method 'tolist' of 'numpy.ndarray' objects}
        6    0.000    0.000    0.121    0.020 kernelbase.py:225(dispatch_shell)
        6    0.000    0.000    0.121    0.020 ioloop.py:688(<lambda>)
        6    0.000    0.000    0.121    0.020 gen.py:811(inner)
      9/6    0.000    0.000    0.120    0.020 gen.py:205(wrapper)
        9    0.000    0.000    0.120    0.013 kernelbase.py:351(process_one)
        2    0.000    0.000    0.115    0.057 kernelbase.py:516(execute_request)
        1    0.000    0.000    0.105    0.105 ipkernel.py:262(do_execute)
        1    0.000    0.000    0.105    0.105 zmqshell.py:534(run_cell)
        1    0.000    0.000    0.105    0.105 interactiveshell.py:2868(run_cell)
        1    0.000    0.000    0.105    0.105 interactiveshell.py:2902(_run_cell)
        4    0.000    0.000    0.105    0.026 events.py:81(trigger)
        1    0.000    0.000    0.105    0.105 async_helpers.py:58(_pseudo_sync_runner)
        1    0.000    0.000    0.105    0.105 {method 'send' of 'coroutine' objects}
        1    0.000    0.000    0.105    0.105 interactiveshell.py:2992(run_cell_async)
        1    0.000    0.000    0.104    0.104 backcall.py:95(adapted)
        1    0.000    0.000    0.104    0.104 autoreload.py:526(pre_run_cell)
        1    0.004    0.004    0.104    0.104 autoreload.py:209(check)
   134603    0.075    0.000    0.100    0.000 linalg.py:112(isComplexType)
     2281    0.006    0.000    0.100    0.000 autoreload.py:183(filename_and_mtime)
    57686    0.064    0.000    0.095    0.000 linalg.py:125(_realType)
   227692    0.091    0.000    0.091    0.000 {method 'values' of 'dict' objects}
   230765    0.089    0.000    0.089    0.000 {method 'items' of 'dict' objects}
    57686    0.085    0.000    0.085    0.000 linalg.py:200(_assert_stacked_square)
     2039    0.081    0.000    0.081    0.000 {built-in method nt.stat}
    57686    0.079    0.000    0.079    0.000 linalg.py:102(get_linalg_error_extobj)
   230745    0.069    0.000    0.069    0.000 fromnumeric.py:2245(_any_dispatcher)
   288476    0.067    0.000    0.067    0.000 {method 'join' of 'str' objects}
    57686    0.054    0.000    0.054    0.000 linalg.py:194(_assert_stacked_2d)
    57686    0.049    0.000    0.049    0.000 {method 'squeeze' of 'numpy.ndarray' objects}
    57686    0.042    0.000    0.042    0.000 four_ws_rover_dynamic_simulator_full_par.py:2830(getWheelPoints)
    60004    0.039    0.000    0.039    0.000 {built-in method builtins.getattr}
    60173    0.032    0.000    0.032    0.000 {method 'get' of 'dict' objects}
    17066    0.024    0.000    0.024    0.000 {built-in method builtins.min}
    57686    0.024    0.000    0.024    0.000 {method '__array_prepare__' of 'numpy.ndarray' objects}
    57686    0.024    0.000    0.024    0.000 linalg.py:473(_unary_dispatcher)
        8    0.000    0.000    0.018    0.002 gen.py:725(__init__)
      100    0.001    0.000    0.016    0.000 {built-in method builtins.print}
      200    0.001    0.000    0.015    0.000 iostream.py:386(write)
    57687    0.015    0.000    0.015    0.000 shape_base.py:78(_atleast_2d_dispatcher)
      315    0.002    0.000    0.014    0.000 iostream.py:197(schedule)
      329    0.011    0.000    0.011    0.000 socket.py:432(send)
     2216    0.002    0.000    0.010    0.000 ntpath.py:203(splitext)
     8065    0.009    0.000    0.009    0.000 {built-in method builtins.max}
    19231    0.008    0.000    0.008    0.000 linalg.py:2359(_norm_dispatcher)
        1    0.008    0.008    0.008    0.008 {built-in method time.sleep}
     2216    0.004    0.000    0.007    0.000 genericpath.py:121(_splitext)
        8    0.000    0.000    0.007    0.001 iostream.py:337(flush)
      360    0.006    0.000    0.006    0.000 {method 'acquire' of '_thread.lock' objects}
        8    0.000    0.000    0.006    0.001 threading.py:540(wait)
        8    0.000    0.000    0.006    0.001 threading.py:270(wait)
        1    0.000    0.000    0.005    0.005 rk.py:85(__init__)
      200    0.000    0.000    0.004    0.000 iostream.py:323(_schedule_flush)
       10    0.000    0.000    0.004    0.000 session.py:660(send)
       10    0.000    0.000    0.003    0.000 zmqstream.py:313(flush)
       99    0.001    0.000    0.003    0.000 wheel_controller.py:147(computeTorqueCorrection)
        6    0.000    0.000    0.003    0.000 kernelbase.py:464(_publish_status)
        3    0.000    0.000    0.002    0.001 session.py:885(deserialize)
       10    0.000    0.000    0.002    0.000 session.py:601(serialize)
     6648    0.002    0.000    0.002    0.000 {method 'rfind' of 'str' objects}
        1    0.000    0.000    0.002    0.002 common.py:64(select_initial_step)
     24/6    0.000    0.000    0.002    0.000 jsonutil.py:59(extract_dates)
      323    0.001    0.000    0.002    0.000 threading.py:1071(is_alive)
       18    0.000    0.000    0.002    0.000 jsonutil.py:44(parse_date)
        3    0.000    0.000    0.001    0.000 _parser.py:1276(parse)
        4    0.000    0.000    0.001    0.000 eventloops.py:30(process_stream_events)
        3    0.000    0.000    0.001    0.000 _parser.py:578(parse)
       40    0.000    0.000    0.001    0.000 session.py:81(<lambda>)
      177    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:365(source_from_cache)
       40    0.000    0.000    0.001    0.000 jsonapi.py:31(dumps)
        2    0.000    0.000    0.001    0.001 kernelbase.py:701(is_complete_request)
        3    0.000    0.000    0.001    0.000 _parser.py:672(_parse)
       40    0.000    0.000    0.001    0.000 __init__.py:183(dumps)
       11    0.001    0.000    0.001    0.000 poll.py:77(poll)
       40    0.000    0.000    0.001    0.000 encoder.py:182(encode)
        1    0.000    0.000    0.001    0.001 manager.py:102(comm_msg)
        1    0.000    0.000    0.001    0.001 frontendcomm.py:226(handle_msg)
      354    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:68(_path_split)
        1    0.000    0.000    0.001    0.001 commbase.py:298(_comm_message)
        1    0.000    0.000    0.001    0.001 commbase.py:335(_handle_remote_call)
