Wed Apr 21 23:13:03 2021    log.txt

         62433873 function calls (59490425 primitive calls) in 250.506 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    57686    0.174    0.000  241.548    0.004 base.py:136(fun)
    57686    0.406    0.000  241.375    0.004 base.py:19(fun_wrapped)
    57686    5.006    0.000  240.836    0.004 four_ws_rover_dynamic_simulator_full_par.py:2063(right_hand_side)
    57686   56.070    0.001  177.764    0.003 four_ws_rover_dynamic_simulator_full_par.py:2209(__checkWheelContact2)
5954167/3299292   13.154    0.000   64.176    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
  1260135    1.434    0.000   36.407    0.000 <__array_function__ internals>:2(hstack)
    57686   33.396    0.001   33.396    0.001 {wrapper_module_141.autofunc_c}
  1260135    3.263    0.000   31.480    0.000 shape_base.py:286(hstack)
  1260135    1.270    0.000   21.188    0.000 <__array_function__ internals>:2(atleast_1d)
  1260135    4.571    0.000   18.668    0.000 shape_base.py:24(atleast_1d)
  5637431   15.698    0.000   15.698    0.000 {built-in method numpy.array}
   683076    0.800    0.000   14.498    0.000 <__array_function__ internals>:2(mean)
  4130569    1.889    0.000   14.037    0.000 _asarray.py:86(asanyarray)
   230744   12.577    0.000   13.702    0.000 fitpack2.py:860(__call__)
   227812   12.590    0.000   13.164    0.000 functions.py:62(findContinguousContactRegions)
   683076    1.878    0.000   12.924    0.000 fromnumeric.py:3269(mean)
   683076    4.184    0.000   11.046    0.000 _methods.py:143(_mean)
    57686   10.363    0.000   10.363    0.000 {wrapper_module_140.autofunc_c}
    57686    0.115    0.000    8.661    0.000 <__array_function__ internals>:2(inv)
    57686    7.368    0.000    8.434    0.000 linalg.py:477(inv)
   288430    0.722    0.000    7.664    0.000 configparser.py:821(getfloat)
  1317822    1.324    0.000    7.046    0.000 <__array_function__ internals>:2(concatenate)
   288430    0.660    0.000    6.942    0.000 configparser.py:805(_get_conv)
   288430    0.774    0.000    6.282    0.000 configparser.py:802(_get)
  1009963    1.104    0.000    5.700    0.000 <__array_function__ internals>:2(dot)
576862/288431    1.325    0.000    5.508    0.000 configparser.py:765(get)
